#
#  Mapping of v3 names to v4 names
#
#  This file is used by the upgrade tool.
#
3Com-Connect_Id                         	Vendor-Specific.3com.Connect_Id
3GPP2-Home-Agent-IP-Address             	Vendor-Specific.3GPP2.Home-Agent-IP-Address
3GPP2-IP-QoS                            	Vendor-Specific.3GPP2.IP-QoS
3GPP2-IP-Technology                     	Vendor-Specific.3GPP2.IP-Technology
3GPP2-IP-Ver-Authorised                 	Vendor-Specific.3GPP2.IP-Ver-Authorised
3GPP2-Ike-Preshared-Secret-Request      	Vendor-Specific.3GPP2.Ike-Preshared-Secret-Request
3GPP2-Inbound-Mobile-IP-Sig-Octets      	Vendor-Specific.3GPP2.Inbound-Mobile-IP-Sig-Octets
3GPP2-KeyID                             	Vendor-Specific.3GPP2.KeyID
3GPP2-Last-User-Activity-Time           	Vendor-Specific.3GPP2.Last-User-Activity-Time
3GPP2-MEID                              	Vendor-Specific.3GPP2.MEID
3GPP2-MIP-Lifetime                      	Vendor-Specific.3GPP2.MIP-Lifetime
3GPP2-MIPv4-Mesg-Id                     	Vendor-Specific.3GPP2.MIPv4-Mesg-Id
3GPP2-MN-AAA-Removal-Indication         	Vendor-Specific.3GPP2.MN-AAA-Removal-Indication
3GPP2-MN-HA-SPI                         	Vendor-Specific.3GPP2.MN-HA-SPI
3GPP2-MN-HA-Shared-Key                  	Vendor-Specific.3GPP2.MN-HA-Shared-Key
3GPP2-Module-Orig-Term-Indicator        	Vendor-Specific.3GPP2.Module-Orig-Term-Indicator
3GPP2-Number-Active-Transitions         	Vendor-Specific.3GPP2.Number-Active-Transitions
3GPP2-Originating-Number-SDBs           	Vendor-Specific.3GPP2.Originating-Number-SDBs
3GPP2-Originating-SDB-OCtet-Count       	Vendor-Specific.3GPP2.Originating-SDB-OCtet-Count
3GPP2-Outbound-Mobile-IP-Sig-Octets     	Vendor-Specific.3GPP2.Outbound-Mobile-IP-Sig-Octets
3GPP2-PCF-IP-Address                    	Vendor-Specific.3GPP2.PCF-IP-Address
3GPP2-Pre-Shared-Secret                 	Vendor-Specific.3GPP2.Pre-Shared-Secret
3GPP2-Prepaid-Acct-Quota-QuotaIDentifier	Vendor-Specific.3GPP2.Prepaid-Acct-Quota.Quota-IDentifier
3GPP2-Prepaid-Acct-Quota-UpdateReason   	Vendor-Specific.3GPP2.Prepaid-Acct-Quota.Update-Reason
3GPP2-Prepaid-Acct-Quota-VolumeQuota    	Vendor-Specific.3GPP2.Prepaid-Acct-Quota.Volume-Quota
3GPP2-Prepaid-Acct-Quota-VolumeQuotaOverflow	Vendor-Specific.3GPP2.Prepaid-Acct-Quota.Volume-Quota-Overflow
3GPP2-Prepaid-Acct-Quota-VolumeThreshold	Vendor-Specific.3GPP2.Prepaid-Acct-Quota.Volume-Threshold
3GPP2-Prepaid-Acct-Quota-VolumeThresholdOverflow	Vendor-Specific.3GPP2.Prepaid-Acct-Quota.Volume-Threshold-Overflow
3GPP2-Prepaid-Quota-Identifier          	Vendor-Specific.3GPP2.PrePaid-Tariff-Switching.Quota-Identifier
3GPP2-Prepaid-Tariff-Switch-Interval    	Vendor-Specific.3GPP2.PrePaid-Tariff-Switching.Tariff-Switch-Interval
3GPP2-Prepaid-Time-Interval-After-Tariff-Switch-Update	Vendor-Specific.3GPP2.PrePaid-Tariff-Switching.Time-Interval-After-Tariff-Switch-Update
3GPP2-Prepaid-Volume-Used-ATS-Overflow  	Vendor-Specific.3GPP2.PrePaid-Tariff-Switching.Volume-Used-ATS-Overflow
3GPP2-Prepaid-Volume-Used-After-Tariff-Switch	Vendor-Specific.3GPP2.PrePaid-Tariff-Switching.Volume-Used-After-Tariff-Switch
3GPP2-Prepaid-acct-Capability           	Vendor-Specific.3GPP2.Prepaid-acct-Capability
3GPP2-RN-Packet-Data-Inactivity-Timer   	Vendor-Specific.3GPP2.RN-Packet-Data-Inactivity-Timer
3GPP2-Received-HDLC-Octets              	Vendor-Specific.3GPP2.Received-HDLC-Octets
3GPP2-Release-Indicator                 	Vendor-Specific.3GPP2.Release-Indicator
3GPP2-Remote-Address-Table-Index-Qualifier	Vendor-Specific.3GPP2.Remote-Address-Table-Index.Qualifier
3GPP2-Remote-Address-Table-Index-Value  	Vendor-Specific.3GPP2.Remote-Address-Table-Index.Value
3GPP2-Remote-IP-Address-Mask            	Vendor-Specific.3GPP2.Remote-IP.Mask
3GPP2-Remote-IP-Address-Value           	Vendor-Specific.3GPP2.Remote-IP.Address
3GPP2-Remote-IP-Qualifier               	Vendor-Specific.3GPP2.Remote-IP.Qualifier
3GPP2-Remote-IPv4-Addr-Octet-Count-Address	Vendor-Specific.3GPP2.Remote-IPv4-Addr-Octet-Count.Address
3GPP2-Remote-IPv4-Addr-Octet-Count-Forward	Vendor-Specific.3GPP2.Remote-IPv4-Addr-Octet-Count.Forward
3GPP2-Remote-IPv4-Addr-Octet-Count-Forward-Overflow	Vendor-Specific.3GPP2.Remote-IPv4-Addr-Octet-Count.Forward-Overflow
